========== Ground Truth: False (Unmatch) ==========

08:36:53 {'verified': True, 'distance': 0.537587937758633, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:58 {'verified': True, 'distance': 0.5513374936145139, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:03 {'verified': True, 'distance': 0.5369880273136631, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:08 {'verified': True, 'distance': 0.5488524570781137, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:13 {'verified': True, 'distance': 0.5317027533480168, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:19 {'verified': True, 'distance': 0.5728185144271835, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:24 {'verified': True, 'distance': 0.5507970684236686, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:29 {'verified': True, 'distance': 0.5600934074196869, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:34 {'verified': True, 'distance': 0.5668647887557619, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:39 {'verified': True, 'distance': 0.5703770681811645, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:44 {'verified': True, 'distance': 0.5405153568085856, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:49 {'verified': True, 'distance': 0.4999197387502674, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:54 {'verified': True, 'distance': 0.5387093505759198, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:37:59 {'verified': True, 'distance': 0.5163666419604345, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:05 {'verified': True, 'distance': 0.5099796159513212, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:10 {'verified': True, 'distance': 0.5381139860790451, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:15 {'verified': True, 'distance': 0.5805059545951368, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:21 {'verified': True, 'distance': 0.5985417768331339, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:26 {'verified': True, 'distance': 0.6029342388972647, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:31 {'verified': True, 'distance': 0.591513550748932, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:36 {'verified': True, 'distance': 0.553062206186093, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:41 {'verified': True, 'distance': 0.626595897170541, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:38:46 {'verified': True, 'distance': 0.6551103625108254, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
