========== Ground Truth: False (Unmatch) ==========

16:26:24 {'verified': False, 'distance': 0.22556513625647445, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:28 {'verified': False, 'distance': 0.15862202196146968, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:37 {'verified': False, 'distance': 0.25571429473344087, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:41 {'verified': False, 'distance': 0.3510325954120369, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:44 {'verified': False, 'distance': 0.4653291519963836, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:56 {'verified': False, 'distance': 0.4417433969704131, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:00 {'verified': False, 'distance': 0.5191038400049215, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:04 {'verified': False, 'distance': 0.5551177311945517, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:08 {'verified': False, 'distance': 0.35873303675276513, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:12 {'verified': False, 'distance': 0.34218793125596836, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:16 {'verified': False, 'distance': 0.46632304074888475, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:20 {'verified': False, 'distance': 0.38883753424395073, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:24 {'verified': False, 'distance': 0.37525712126374544, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:27 {'verified': False, 'distance': 0.4176344673451158, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:31 {'verified': False, 'distance': 0.3394380977935786, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:27:42 {'verified': False, 'distance': 0.5025516729438408, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:27:50 {'verified': False, 'distance': 0.2875618425314309, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:27:54 {'verified': False, 'distance': 0.365146140863436, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:27:58 {'verified': False, 'distance': 0.3260925560822133, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:01 {'verified': False, 'distance': 0.3832870551528075, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:05 {'verified': False, 'distance': 0.4139921850360331, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:09 {'verified': False, 'distance': 0.3903880074876368, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:28:13 {'verified': False, 'distance': 0.3638564483059622, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:16 {'verified': False, 'distance': 0.5488367196935078, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:20 {'verified': False, 'distance': 0.543987336398749, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:24 {'verified': False, 'distance': 0.5285799462300954, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:28:27 {'verified': False, 'distance': 0.546460904339666, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:28:31 {'verified': False, 'distance': 0.5303768648816893, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
