========== Ground Truth: False (Unmatch) ==========

17:24:47 {'verified': False, 'distance': 0.5344666874127322, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:24:55 {'verified': False, 'distance': 0.46903030742116303, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:25:04 {'verified': False, 'distance': 0.3535050117530133, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:25:13 {'verified': False, 'distance': 0.3996278100207773, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:25:22 {'verified': False, 'distance': 0.3165204257898113, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:25:30 {'verified': False, 'distance': 0.32518307597041396, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:25:39 {'verified': False, 'distance': 0.3927269264062683, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:25:54 {'verified': True, 'distance': 0.2709125108183881, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:26:08 {'verified': False, 'distance': 0.5165330059451135, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:26:16 {'verified': False, 'distance': 0.37977569762607355, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:26:25 {'verified': False, 'distance': 0.4414925725347605, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:26:34 {'verified': False, 'distance': 0.44688233956757684, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:26:43 {'verified': False, 'distance': 0.49325624161245696, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:26:51 {'verified': False, 'distance': 0.512777808945966, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:27:00 {'verified': False, 'distance': 0.49776206336244855, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:27:09 {'verified': False, 'distance': 0.533987564807513, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:27:17 {'verified': False, 'distance': 0.5189909027481243, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:27:26 {'verified': False, 'distance': 0.5337971496586229, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:27:35 {'verified': False, 'distance': 0.5520059179346769, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:27:44 {'verified': False, 'distance': 0.5061432277515501, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:27:53 {'verified': False, 'distance': 0.46016308393812966, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:28:02 {'verified': False, 'distance': 0.5023951528088408, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:28:10 {'verified': False, 'distance': 0.5262384472037065, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:28:19 {'verified': False, 'distance': 0.5167782256822995, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:28:28 {'verified': False, 'distance': 0.45685437775543414, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:28:37 {'verified': False, 'distance': 0.4449690542714123, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:28:45 {'verified': False, 'distance': 0.4449093963979307, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:28:54 {'verified': False, 'distance': 0.454389209987066, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:29:03 {'verified': False, 'distance': 0.41368124171386167, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:29:11 {'verified': False, 'distance': 0.4424506985459118, 'threshold': 0.3, 'model': 'Facenet512', 'time': 7}
17:29:20 {'verified': False, 'distance': 0.45965870230027717, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:29:29 {'verified': False, 'distance': 0.5357365321828844, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
17:29:38 {'verified': False, 'distance': 0.5656487847776461, 'threshold': 0.3, 'model': 'Facenet512', 'time': 8}
