========== Ground Truth: False (Unmatch) ==========

17:58:45 {'verified': True, 'distance': 0.19298527619399153, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
17:59:51 {'verified': False, 'distance': 0.3275138934509383, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:00:56 {'verified': False, 'distance': 0.36870005483628066, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:02:02 {'verified': False, 'distance': 0.3666931831580228, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:03:08 {'verified': True, 'distance': 0.2243795306598707, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:04:14 {'verified': True, 'distance': 0.19358125209077814, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:05:20 {'verified': True, 'distance': 0.21194194863140148, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:06:27 {'verified': True, 'distance': 0.1939557860207729, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:07:33 {'verified': True, 'distance': 0.2068668499323093, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:08:39 {'verified': True, 'distance': 0.1919294771813561, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:09:45 {'verified': False, 'distance': 0.2414045113318123, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:10:50 {'verified': True, 'distance': 0.18555202302772023, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:12:00 {'verified': False, 'distance': 0.27993231709307553, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:13:05 {'verified': False, 'distance': 0.28581470527550057, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:14:12 {'verified': False, 'distance': 0.26210573112771274, 'threshold': 0.23, 'model': 'DeepFace', 'time': 66}
18:15:26 {'verified': False, 'distance': 0.26053548998595744, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:16:31 {'verified': False, 'distance': 0.23391015790815894, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:17:37 {'verified': False, 'distance': 0.2392327188917881, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:18:43 {'verified': False, 'distance': 0.2670470791779719, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:19:48 {'verified': False, 'distance': 0.2786835675187048, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:20:54 {'verified': False, 'distance': 0.2651441399787512, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:22:00 {'verified': False, 'distance': 0.2841053322451892, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:23:06 {'verified': False, 'distance': 0.28307390338199523, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:24:12 {'verified': False, 'distance': 0.26745911251762355, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:25:17 {'verified': False, 'distance': 0.2762754735426529, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:26:29 {'verified': False, 'distance': 0.2804410499582257, 'threshold': 0.23, 'model': 'DeepFace', 'time': 63}
18:27:39 {'verified': False, 'distance': 0.27820654387919996, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:28:44 {'verified': False, 'distance': 0.3294620899049512, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:29:49 {'verified': False, 'distance': 0.35113479168252704, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:30:54 {'verified': False, 'distance': 0.40615900471653243, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:31:59 {'verified': False, 'distance': 0.4133878467383669, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:33:04 {'verified': False, 'distance': 0.4271971027079353, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:34:09 {'verified': False, 'distance': 0.4053427728553394, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:35:15 {'verified': False, 'distance': 0.46051832274829263, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:36:20 {'verified': False, 'distance': 0.46579931195914814, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:37:26 {'verified': False, 'distance': 0.45694086297911707, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:38:32 {'verified': False, 'distance': 0.46072179247885425, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:39:37 {'verified': False, 'distance': 0.43871772704065337, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:40:43 {'verified': False, 'distance': 0.3351793963463392, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
18:41:48 {'verified': False, 'distance': 0.4110139357521714, 'threshold': 0.23, 'model': 'DeepFace', 'time': 65}
18:42:53 {'verified': False, 'distance': 0.4131698325062051, 'threshold': 0.23, 'model': 'DeepFace', 'time': 64}
