========== Ground Truth: False (Unmatch) ==========

16:06:06 {'verified': True, 'distance': 0.27273074524783925, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:06:11 {'verified': True, 'distance': 0.22035078372677042, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:06:17 {'verified': True, 'distance': 0.20363624035173977, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:06:22 {'verified': True, 'distance': 0.18233429226344555, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:06:27 {'verified': True, 'distance': 0.20050384209978656, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:06:35 {'verified': True, 'distance': 0.22814151805468885, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
16:06:43 {'verified': True, 'distance': 0.3109374279489232, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
16:06:48 {'verified': True, 'distance': 0.3333074978578201, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:06:53 {'verified': True, 'distance': 0.30610316509672575, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:06:58 {'verified': True, 'distance': 0.2428899775787381, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:07:03 {'verified': True, 'distance': 0.21088234475084855, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:07:11 {'verified': True, 'distance': 0.18084359181490617, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:07:21 {'verified': True, 'distance': 0.19181499264742996, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:07:31 {'verified': True, 'distance': 0.11174209063204765, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:07:36 {'verified': True, 'distance': 0.12231733867596228, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:07:41 {'verified': True, 'distance': 0.13189508137171857, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:07:47 {'verified': True, 'distance': 0.1241308696881227, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
16:07:52 {'verified': True, 'distance': 0.1124660242352048, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:07:57 {'verified': True, 'distance': 0.13773780275216674, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:08:02 {'verified': True, 'distance': 0.1308157613066332, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
